עץ חד פסיגי,תמר
צמח המשמש מזון משובח לבהמות,תילתן
עליו משמשים מזון לתולעי המשי,תות
שיח ירוק עד שמוצאו מסין,תה
עץ פרי נשיר ממשפחת התותיים,תאנה
צמח חד שנתי ממשפחת הציפרנים,שרוכנית
שיח חסר עלים או שעליו קטנים,שרביטן
שרך ממשפחת הרב-רגליים,שערות שולמית
צמח נוי מטפס,שעונית
"אסקידיניה",שסק
תבלין בשרני ממשפחת הסחלביים,שנף
משרשיו מפיקים קאוצ'וק,שנן
עשב בר ממשפחת הסוככיים,שומר
שיח נוי ממשפחת השפתניים,רוסמרין
מפרותיו מפיקים שמן,קקיון
עץ קטן ממשפחת הסטרקוליים,קקאו
מזרעיה מפיקים שמן,פשתה
צמח סוף גבוה,פפירוס
שיח מטפס שמוצאו מהודו,פלפל
צמח בר ממשפחת הזיפניים,עכנאי
צמח בעל ציצת שורשים מעובים,עירית
העצים הגדולים בעולם,סקוויה
צמח בר ממשפחת הגירניים,מקור החסידה
צמח בעל בצל ממשפחת השושניים,מצלות
שיח בר ממשפחת הסלקיים,מלוח
הפרח הלאומי של הודו,לוטוס
תפרחתו אשכולית פרחיו כחולים,יקינטון
צמח בר ממשפחת הדגניים,ידיד חולות
עץ נוי מצל נשיר,טיליה
צמח בר ממשפחת המרכבים,טיון
צמח חסר זרע המתרבה ע"י נבגים,טחב
צמח בר ממשפחת המצליבים,טורים
צמח תרבות ממשפחת הסולניים,טבק
עשב בר נפוץ מאד בשרון,חילף
צמח תרבות פרחיו לבנים סגולים,ולרינה
שם עממי לפרח דרדר כחול,דגניה
צמח קוצני זקוף,גדילן
צמח נוי ממשפחת הלעניתיים,ברוניקה
צמח אשר עליו משמשים תבלין,בקבוקון
פרח המיוחד להר הגלבוע,איריס